Date,Open,High,Low,Close,Volume
2021-01-26 07:15:00,31465.04,31591.27,31100.0,31276.68,1911.064126
2021-01-26 07:30:00,31280.33,31405.32,31209.04,31339.39,1094.96535
2021-01-26 07:45:00,31339.38,31782.08,31261.69,31643.61,1796.018904
2021-01-26 08:00:00,31643.61,31880.0,31527.86,31602.26,1178.307973
2021-01-26 08:15:00,31602.25,31790.0,31600.08,31705.01,567.959085
2021-01-26 08:30:00,31705.01,31981.99,31705.01,31813.64,678.959639
2021-01-26 08:45:00,31813.64,31907.6,31731.64,31896.97,527.508947
2021-01-26 09:00:00,31896.97,32075.0,31777.01,31815.96,663.336471
2021-01-26 09:15:00,31821.02,31821.02,31527.86,31599.55,823.69252
2021-01-26 09:30:00,31599.55,31764.5,31527.77,31657.62,716.931506
2021-01-26 09:45:00,31657.62,31848.72,31373.0,31804.77,1166.100959
2021-01-26 10:00:00,31804.78,32183.56,31804.78,32085.14,1436.834395
2021-01-26 10:15:00,32082.41,32450.0,32070.9,32310.15,1321.721472
2021-01-26 10:30:00,32310.15,32352.15,32218.0,32278.35,588.012264
2021-01-26 10:45:00,32279.64,32345.0,32109.56,32246.68,711.551737
2021-01-26 11:00:00,32247.2,32249.98,32105.36,32139.29,616.047753
2021-01-26 11:15:00,32139.29,32186.61,31807.19,31968.65,804.456726
2021-01-26 11:30:00,31968.65,32048.88,31733.0,32040.8,680.101376
2021-01-26 11:45:00,32040.81,32049.7,31650.0,31796.95,689.368729
2021-01-26 12:00:00,31798.65,31924.79,31589.0,31830.25,771.785037
2021-01-26 12:15:00,31830.05,31972.73,31540.0,31616.74,839.004537
2021-01-26 12:30:00,31616.22,31750.0,31482.0,31613.95,826.092981
2021-01-26 12:45:00,31613.94,31632.77,31229.45,31296.94,1347.721682
2021-01-26 13:00:00,31297.76,31543.89,31201.0,31500.0,1220.999009
2021-01-26 13:15:00,31500.0,31649.58,31407.12,31423.81,740.336348
2021-01-26 13:30:00,31423.81,31733.0,31423.81,31555.77,746.782173
2021-01-26 13:45:00,31556.36,31920.0,31521.63,31718.97,848.57712
2021-01-26 14:00:00,31718.96,31780.6,31439.78,31564.98,702.105233
2021-01-26 14:15:00,31564.98,31635.0,31360.69,31440.75,770.029896
2021-01-26 14:30:00,31434.7,31503.49,31010.0,31038.79,2229.508378
2021-01-26 14:45:00,31043.84,31369.48,30837.37,31257.73,2798.569084
2021-01-26 15:00:00,31259.29,31545.31,31252.0,31502.82,1010.18153
2021-01-26 15:15:00,31504.41,31650.0,31356.41,31550.76,991.566305
2021-01-26 15:30:00,31549.69,31835.98,31510.39,31749.54,1078.855981
2021-01-26 15:45:00,31749.54,31885.02,31650.02,31750.23,744.456936
2021-01-26 16:00:00,31750.24,32122.81,31452.47,31475.52,3088.222636
2021-01-26 16:15:00,31475.51,31590.18,31300.69,31583.15,1189.311719
2021-01-26 16:30:00,31583.08,31972.41,31528.73,31945.18,1162.855346
2021-01-26 16:45:00,31945.18,32093.32,31826.54,31985.3,876.511563
2021-01-26 17:00:00,31985.29,32235.0,31982.59,32056.47,1007.82988
2021-01-26 17:15:00,32056.48,32169.49,31895.61,32017.45,783.192736
2021-01-26 17:30:00,32017.45,32084.65,31906.21,32010.01,453.149951
2021-01-26 17:45:00,32010.01,32230.0,31910.0,32184.36,610.272905
2021-01-26 18:00:00,32184.36,32267.35,31861.22,32014.1,853.986172
2021-01-26 18:15:00,32014.1,32192.7,31975.66,32151.21,518.95638
2021-01-26 18:30:00,32151.21,32350.0,32033.31,32064.03,773.541809
2021-01-26 18:45:00,32061.21,32322.08,31978.61,32224.5,715.801851
2021-01-26 19:00:00,32222.88,32403.88,32217.0,32228.58,953.052444
2021-01-26 19:15:00,32228.59,32301.98,32070.0,32100.64,620.900176
2021-01-26 19:30:00,32100.64,32245.71,32075.0,32218.77,564.349667
2021-01-26 19:45:00,32218.76,32285.74,32035.93,32208.33,540.116893
2021-01-26 20:00:00,32208.33,32395.0,32154.97,32314.34,691.277928
2021-01-26 20:15:00,32314.35,32363.13,32073.4,32082.72,778.135089
2021-01-26 20:30:00,32082.72,32132.01,31855.71,31932.61,741.06146
2021-01-26 20:45:00,31936.6,32031.74,31873.93,31986.99,420.208952
2021-01-26 21:00:00,31986.98,32103.82,31900.0,32086.16,436.611709
2021-01-26 21:15:00,32086.16,32260.0,31950.0,32242.97,470.909865
